TimeStep,SOC_Baseline,SOC_Optimized,SoH,Runtime_Base_sec,Runtime_Opt_sec,OptimizerDecision,FinalDecision
0,24.99969135802469,24.99996913580247,24.99996913580247,80999.00000000001,809999.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
1,24.999382716049386,24.99993827160494,24.99993827160494,80998.0,809998.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
2,24.999074074074077,24.999907407407406,24.999907407407406,80997.00000000001,809997.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
3,24.998765432098768,24.999876543209876,24.999876543209876,80996.00000000001,809995.9999999999,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
4,24.998456790123463,24.999845679012346,24.999845679012346,80995.00000000001,809995.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
5,24.998148148148154,24.999814814814812,24.999814814814812,80994.00000000001,809994.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
6,24.99783950617285,24.99978395061728,24.99978395061728,80993.00000000003,809992.9999999999,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
7,24.99753086419754,24.99975308641975,24.99975308641975,80992.00000000003,809992.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
8,24.99722222222223,24.99972222222222,24.99972222222222,80991.00000000003,809990.9999999999,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
9,24.996913580246925,24.99969135802469,24.99969135802469,80990.00000000003,809989.9999999999,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
10,24.996604938271616,24.999660493827157,24.999660493827157,80989.00000000004,809989.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
11,24.996296296296308,24.999629629629627,24.999629629629627,80988.00000000004,809987.9999999999,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
12,24.995987654321,24.999598765432097,24.999598765432097,80987.00000000004,809987.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
13,24.99567985534668,24.99956703186035,24.99956703186035,80986.0078125,809985.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
14,24.995370864868164,24.999536514282227,24.999536514282227,80985.0,809984.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
15,24.99506378173828,24.9995059967041,24.9995059967041,80984.0078125,809983.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
16,24.9947566986084,24.999473571777344,24.999473571777344,80983.015625,809982.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
17,24.994447708129883,24.99944305419922,24.99944305419922,80982.0078125,809981.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
18,24.994140625,24.99941062927246,24.99941062927246,80981.015625,809980.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Fan, LEDs, Heater"
