TimeStep,SOC_Baseline,SOC_Optimized,SoH,Runtime_Base_sec,Runtime_Opt_sec,OptimizerDecision,FinalDecision
0,24.99969135802469,24.99996913580247,24.99996913580247,80999.00000000001,809999.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
1,24.999382716049386,24.99993827160494,24.99993827160494,80998.0,809998.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
2,20.839508056640625,24.58395004272461,24.58395004272461,67520.0078125,796519.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
3,20.83919906616211,24.583919525146484,24.583919525146484,67519.0078125,796518.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
4,20.838891983032227,24.58388900756836,24.58388900756836,67518.0078125,796517.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
5,20.838584899902344,24.5838565826416,24.5838565826416,67517.015625,796516.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
6,16.678091049194336,24.167808532714844,24.167808532714844,54037.01171875,783036.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
7,16.67778205871582,24.167776107788086,24.167776107788086,54036.015625,783035.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
8,16.677474975585938,24.16774559020996,24.16774559020996,54035.015625,783034.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
9,16.677165985107422,24.167713165283203,24.167713165283203,54034.01953125,783033.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
10,12.516054153442383,23.751602172851562,23.751602172851562,40552.01953125,769551.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
11,12.515746116638184,23.751569747924805,23.751569747924805,40551.01953125,769550.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
12,12.515438079833984,23.75153923034668,23.75153923034668,40550.01953125,769549.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
13,12.515129089355469,23.751506805419922,23.751506805419922,40549.015625,769548.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
14,8.353401184082031,23.33533477783203,23.33533477783203,27065.017578125,756064.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
15,8.353092193603516,23.335304260253906,23.335304260253906,27064.017578125,756063.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
16,8.352783203125,23.33527183532715,23.33527183532715,27063.017578125,756062.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
17,4.190745830535889,22.9190673828125,22.9190673828125,13578.0166015625,742577.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
18,4.190437316894531,22.919036865234375,22.919036865234375,13577.0166015625,742576.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
