TimeStep,SOC_Baseline,SOC_Optimized,SoH,Runtime_Base_sec,Runtime_Opt_sec,OptimizerDecision,FinalDecision
0,24.999384,24.999939,24.999939,40499.0,404998.97,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
1,24.998764,24.999878,24.999878,40498.0,404998.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
2,24.998148,24.999817,24.999817,40497.0,404997.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
3,24.99753,24.999756,24.999756,40495.996,404996.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
4,24.996912,24.999693,24.999693,40494.996,404995.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
5,24.996294,24.999632,24.999632,40494.0,404994.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
6,24.995678,24.99957,24.99957,40492.996,404993.03,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
7,24.995058,24.99951,24.99951,40491.996,404992.03,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
8,24.994442,24.999449,24.999449,40490.996,404991.03,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
9,24.993824,24.999388,24.999388,40489.996,404990.06,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
10,24.993206,24.999327,24.999327,40488.992,404989.03,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
11,24.99259,24.999266,24.999266,40487.992,404988.06,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
12,24.991972,24.999205,24.999205,40486.996,404987.06,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
13,24.991354,24.999142,24.999142,40485.992,404986.06,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
14,24.990736,24.99908,24.99908,40484.992,404985.1,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
15,24.99012,24.99902,24.99902,40483.992,404984.1,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
16,24.9895,24.998959,24.998959,40482.992,404983.1,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
17,24.988884,24.998898,24.998898,40481.992,404982.12,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
18,24.988266,24.998837,24.998837,40480.99,404981.1,SHED_NON_CRITICAL_LOAD,"Priority Shedding: Heater, Fan, LEDs"
