TimeStep,SOC_Baseline,SOC_Optimized,SoH,Runtime_Base_sec,Runtime_Opt_sec,OptimizerDecision,FinalDecision
0,24.99969135802469,24.99996913580247,24.99996913580247,80999.00000000001,809999.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
1,24.999382716049386,24.99993827160494,24.99993827160494,80998.0,809998.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
2,24.999074074074077,24.999907407407406,24.999907407407406,80997.00000000001,809997.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
3,24.998765432098768,24.999876543209876,24.999876543209876,80996.00000000001,809995.9999999999,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
4,19.934568405151367,24.493459701538086,24.493459701538086,64588.00390625,793587.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
5,19.934261322021484,24.493425369262695,24.493425369262695,64587.00390625,793587.0,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
6,19.93395233154297,24.49339485168457,24.49339485168457,64586.0078125,793585.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
7,19.933645248413086,24.493364334106445,24.493364334106445,64585.01171875,793584.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
8,19.93333625793457,24.493331909179688,24.493331909179688,64584.0078125,793583.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
9,19.933029174804688,24.493301391601562,24.493301391601562,64583.01171875,793582.9375,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
10,19.932722091674805,24.493268966674805,24.493268966674805,64582.015625,793581.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
11,19.93241310119629,24.49323844909668,24.49323844909668,64581.015625,793580.875,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
12,19.932104110717773,24.493207931518555,24.493207931518555,64580.01953125,793579.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
13,19.93179702758789,24.493175506591797,24.493175506591797,64579.0234375,793578.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
14,19.931489944458008,24.49314308166504,24.49314308166504,64578.01953125,793577.8125,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
15,19.931180953979492,24.493112564086914,24.493112564086914,64577.02734375,793576.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
16,19.93087387084961,24.493080139160156,24.493080139160156,64576.03125,793575.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
17,19.930564880371094,24.49304962158203,24.49304962158203,64575.03515625,793574.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
18,19.93025779724121,24.493017196655273,24.493017196655273,64574.03125,793573.75,SHED_NON_CRITICAL_LOAD,"Priority Shedding: LEDs, Heater, Fan"
