epoch,loss,lr,mae,val_loss,val_mae
0,0.6338356137275696,0.001,0.03638782352209091,0.6278024911880493,0.01067278441041708
1,0.6295537352561951,0.001,0.021986762061715126,0.6276487112045288,0.009339426644146442
2,0.6289848685264587,0.001,0.018306683748960495,0.6275098919868469,0.006397287826985121
3,0.628716766834259,0.001,0.016149409115314484,0.6274308562278748,0.005031579174101353
4,0.6285640597343445,0.001,0.01489849854260683,0.6274821758270264,0.006158118601888418
5,0.628467857837677,0.001,0.014018837362527847,0.6275259852409363,0.007460522931069136
6,0.6284118890762329,0.001,0.013471873477101326,0.6274215579032898,0.0048979208804667
7,0.6283590793609619,0.001,0.012997987680137157,0.6274393796920776,0.005378188099712133
8,0.6282737255096436,0.0005,0.012068790383636951,0.627375602722168,0.0031235837377607822
9,0.6282526850700378,0.0005,0.011842439882457256,0.6273689270019531,0.0030092995148152113
10,0.6282349228858948,0.0005,0.011613321490585804,0.6273974776268005,0.004111113958060741
11,0.6282222867012024,0.0005,0.011529404670000076,0.6274059414863586,0.004171290900558233
12,0.6282172203063965,0.0005,0.011428097262978554,0.6273967027664185,0.004009481519460678
13,0.6282073855400085,0.0005,0.011350414715707302,0.6274548172950745,0.005752015858888626
14,0.6281631588935852,0.00025,0.010835207998752594,0.6273959279060364,0.003955508582293987
15,0.6281587481498718,0.00025,0.010756843723356724,0.627393364906311,0.0038354946300387383
16,0.6281490921974182,0.00025,0.010657009668648243,0.6274203062057495,0.005236397031694651
17,0.6281517744064331,0.00025,0.010688015259802341,0.6274279356002808,0.004848114680498838
18,0.6281346678733826,0.00025,0.010509486310184002,0.6274083256721497,0.004349554888904095
19,0.6281241178512573,0.000125,0.010337735526263714,0.6274059414863586,0.004287702031433582
20,0.6281185150146484,0.000125,0.010306157171726227,0.6273885369300842,0.0037425595801323652
21,0.6281158924102783,0.000125,0.01027181837707758,0.627421498298645,0.004674422554671764
22,0.6281158924102783,0.000125,0.010251892730593681,0.627466082572937,0.005414431914687157
23,0.6281124353408813,0.000125,0.010198777541518211,0.6273848414421082,0.0035891549196094275
24,0.6281108260154724,6.25e-05,0.010136069729924202,0.6273874640464783,0.003807840868830681
